gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관리관,교통량,경제인구,sum,순위
다사80bb71aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0037197768133911966,0.030035566287075405,1469
다사67ba60bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0037197768133911966,0.030035566287075405,1469
다사80bb56aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0037197768133911966,0.030035566287075405,1469
다사82bb70ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0037197768133911966,0.030035566287075405,1469
다사82bb50ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0037197768133911966,0.030035566287075405,1469
다사81ba71ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사82ba55ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사84bb62ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사72aa69ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사74aa58ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사77aa65aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사81aa50aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사73aa63ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사71ab67ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사71ba59aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사86ba65aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.003409795412275263,0.029725584885959472,1470
다사81aa50ab,0,0,0,0.013157894736842105,0.0,0.0,0.0,0.0,0,0,0,0,0.01642901425914445,0.029586908995986556,1471
다사69bb68aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.00309981401115933,0.02941560348484354,1472
다사66aa67ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.00309981401115933,0.02941560348484354,1472
다사85aa55ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.00309981401115933,0.02941560348484354,1472
다사69ba66aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.00309981401115933,0.02941560348484354,1472
다사65ab62ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.00309981401115933,0.02941560348484354,1472
다사68bb62bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.00309981401115933,0.02941560348484354,1472
다사73ba63ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.00309981401115933,0.02941560348484354,1472
다사78bb62aa,0,0,0,0.013157894736842105,0.0,0.0,0.0,0.0,0,0,0,0,0.016119032858028518,0.029276927594870623,1473
다사88ba64bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
